Country,Song,Artist,F/SF,Year,Points,R/O,Place,Contest_Location,Jury_1.0,Jury_2.0,Jury_3.0,Jury_4.0,Jury_5.0,Jury_6.0,Jury_7.0,Jury_8.0,Jury_10.0,Jury_12.0
Belgium,Macédomienne,Philippe Lafontaine,Final,1990,46.0,3,12,Zagreb ,Spain,Austria,Denmark,France,Cyprus,Germany,Ireland,Italy,Iceland,United Kingdom
Cyprus,Milas Poli,Haris Anastasiou,Final,1990,36.0,21,14,Zagreb ,Switzerland,Netherlands,United Kingdom,Denmark,Luxembourg,Greece,France,Spain,Yugoslavia,Italy
Denmark,Hallo Hallo,Lonnie Devantier,Final,1990,64.0,11,8,Zagreb ,Norway,Cyprus,United Kingdom,Germany,France,Italy,Yugoslavia,Ireland,Iceland,Switzerland
Finland,Fri?,Beat,Final,1990,8.0,22,21,Zagreb ,Yugoslavia,Austria,Switzerland,Ireland,Israel,Cyprus,Iceland,Italy,Spain,France
France,White And Black Blues,Joelle Ursull,Final,1990,132.0,14,2,Zagreb ,Switzerland,Yugoslavia,Austria,Italy,Spain,Netherlands,Ireland,Belgium,United Kingdom,Luxembourg
Germany,Frei Zu Leben,Chris Kempers & Daniel Kovac,Final,1990,60.0,13,9,Zagreb ,United Kingdom,Sweden,Luxembourg,Israel,Turkey,Italy,Ireland,Belgium,France,Spain
Greece,Horis Skopo,Christos Callow & Wave,Final,1990,11.0,2,19,Zagreb ,Netherlands,Sweden,Iceland,Luxembourg,United Kingdom,Cyprus,Ireland,Spain,Italy,Switzerland
Iceland,Eitt Lag Enn,Stjórnin,Final,1990,124.0,8,4,Zagreb ,Germany,Turkey,Italy,Spain,Finland,Austria,Denmark,Ireland,Yugoslavia,France
Ireland,Somewhere In Europe,Liam Reilly,Final,1990,132.0,17,2,Zagreb ,Belgium,Austria,Norway,Denmark,Yugoslavia,United Kingdom,Iceland,France,Germany,Italy
Israel,Shara Barechovot,Rita,Final,1990,16.0,10,18,Zagreb ,Italy,Netherlands,Finland,Norway,Cyprus,France,Denmark,Iceland,United Kingdom,Yugoslavia
Italy,Insieme: 1992,Toto Cutugno,Final,1990,149.0,19,1,Zagreb ,Luxembourg,Netherlands,Iceland,Cyprus,Germany,United Kingdom,Denmark,Spain,Yugoslavia,Austria
Luxembourg,Quand Je Te Rêve,Céline Carzo,Final,1990,38.0,6,13,Zagreb ,Netherlands,Switzerland,United Kingdom,Belgium,Austria,Ireland,Portugal,Iceland,Italy,Germany
Netherlands,Ik Wil Alles Met Je Delen,Maywood,Final,1990,25.0,5,15,Zagreb ,Austria,Spain,Turkey,Israel,Greece,Sweden,Belgium,Italy,Ireland,France
Norway,Brandenburger Tor,Ketil Stokkan,Final,1990,8.0,9,21,Zagreb ,Belgium,Cyprus,Yugoslavia,Turkey,Spain,Sweden,Denmark,Ireland,Iceland,France
Portugal,Há Sempre Alguém,Nucha,Final,1990,9.0,16,20,Zagreb ,Netherlands,Belgium,Luxembourg,France,Spain,Ireland,Denmark,Switzerland,Italy,Iceland
Spain,Bandido,Azúcar Moreno,Final,1990,96.0,1,5,Zagreb ,Switzerland,Sweden,Yugoslavia,Iceland,France,Denmark,United Kingdom,Germany,Ireland,Italy
Sweden,Som En Vind,Edin-Ådahl,Final,1990,24.0,18,16,Zagreb ,Yugoslavia,Austria,Denmark,Germany,France,Cyprus,Belgium,Iceland,Italy,Ireland
Switzerland,Musik Klingt In Die Welt Hinaus,Egon Egemann,Final,1990,51.0,12,11,Zagreb ,Denmark,Israel,Netherlands,Belgium,Ireland,Spain,Iceland,Italy,United Kingdom,France
Turkey,Gözlerinin Hapsindeyim,Kayahan,Final,1990,21.0,4,17,Zagreb ,Iceland,Denmark,Netherlands,France,Ireland,Switzerland,Austria,Italy,Spain,Yugoslavia
United Kingdom,Give A Little Love Back To The World,Emma,Final,1990,87.0,7,6,Zagreb ,Spain,Portugal,Luxembourg,Netherlands,Yugoslavia,Sweden,Germany,Austria,Ireland,Iceland
Yugoslavia,Hajde Da Ludujemo,Tajci,Final,1990,81.0,15,7,Zagreb ,Israel,Luxembourg,Spain,Iceland,Switzerland,Italy,Turkey,Austria,United Kingdom,France
Austria,Venedig Im Regen,Thomas Forstner,Final,1991,0.0,6,22,Rome ,Ireland,Greece,Belgium,Malta,Luxembourg,United Kingdom,Spain,Switzerland,Sweden,France
Belgium,Geef Het Op,Clouseau,Final,1991,23.0,18,16,Rome ,Greece,Luxembourg,United Kingdom,Malta,Ireland,Spain,France,Israel,Sweden,Switzerland
Cyprus,S.O.S.,Elena Patroclou,Final,1991,60.0,21,9,Rome ,United Kingdom,Luxembourg,Germany,Portugal,Israel,Sweden,France,Switzerland,Greece,Spain
Denmark,Lige Der Hvor Hjertet Slår,Anders Frandsen,Final,1991,8.0,13,19,Rome ,Portugal,Norway,United Kingdom,Luxembourg,Switzerland,Germany,Ireland,Turkey,Israel,Sweden
Finland,Hullu Yö,Kaija,Final,1991,6.0,16,20,Rome ,Greece,Ireland,Belgium,Spain,Switzerland,Israel,Portugal,Sweden,France,Italy
France,C'est Le Dernier Qui A Parlé Qui A Raison,Amina,Final,1991,146.0,9,2,Rome ,United Kingdom,Malta,Israel,Switzerland,Belgium,Spain,Turkey,Italy,Portugal,Cyprus
Germany,Dieser Traum Darf Niemals Sterben,Atlantis 2000,Final,1991,10.0,17,18,Rome ,Cyprus,Ireland,Luxembourg,Norway,Iceland,Switzerland,Spain,France,Malta,Sweden
Greece,I Anixi,Sofia Vossou,Final,1991,36.0,4,13,Rome ,Finland,Malta,United Kingdom,Portugal,Israel,Italy,Switzerland,France,Spain,Cyprus
Iceland,Nina,Stefán & Eyfi,Final,1991,26.0,2,15,Rome ,Finland,Spain,Cyprus,Luxembourg,Switzerland,Norway,France,Portugal,Israel,Sweden
Ireland,Could It Be That I'm In Love,Kim Jackson,Final,1991,47.0,11,10,Rome ,Greece,Switzerland,Sweden,Finland,Cyprus,Spain,France,Israel,Italy,Malta
Israel,Kan,Duo Datz,Final,1991,139.0,15,3,Rome ,Ireland,Spain,Italy,Greece,United Kingdom,Cyprus,Turkey,Switzerland,Sweden,France
Italy,Comme E' Ddoce 'o Mare,Peppino di Capri,Final,1991,89.0,22,7,Rome ,Portugal,Greece,Ireland,Switzerland,Belgium,United Kingdom,Iceland,Turkey,Malta,France
Luxembourg,Un Baiser Volé,Sarah Bray,Final,1991,29.0,7,14,Rome ,Norway,Portugal,United Kingdom,Cyprus,Israel,Spain,Sweden,Ireland,Malta,Switzerland
Malta,Could It Be,Paul Giordimaina & Georgina,Final,1991,106.0,3,6,Rome ,Yugoslavia,Italy,France,Ireland,Greece,Spain,Turkey,Israel,United Kingdom,Cyprus
Norway,Mrs. Thompson,Just 4 Fun,Final,1991,14.0,14,17,Rome ,Greece,Portugal,Switzerland,Spain,Denmark,Malta,Israel,Sweden,Italy,France
Portugal,Lusitana Paixão,Dulce,Final,1991,62.0,12,8,Rome ,United Kingdom,Luxembourg,Cyprus,Israel,France,Switzerland,Malta,Spain,Sweden,Italy
Spain,Bailar Pegados,Sergio Dalma,Final,1991,119.0,19,4,Rome ,Germany,Turkey,Belgium,Sweden,Greece,Malta,Italy,France,Portugal,Israel
Sweden,Fångad Av En Stormvind,Carola,Final,1991,146.0,8,1,Rome ,Luxembourg,Belgium,Denmark,Spain,France,Israel,Portugal,Switzerland,Iceland,Malta
Switzerland,Canzone Per Te,Sandra Simó,Final,1991,118.0,5,5,Rome ,Portugal,Italy,Ireland,Iceland,United Kingdom,Malta,France,Israel,Sweden,Spain
Turkey,Iki Dakika,"Izel Çeliköz, Rayhan Soykarçi & Can Ugurluér",Final,1991,44.0,10,12,Rome ,Norway,Switzerland,Luxembourg,Ireland,Portugal,Sweden,Malta,Spain,Italy,Israel
United Kingdom,A Message To Your Heart,Samantha Janus,Final,1991,47.0,20,10,Rome ,Spain,Belgium,Luxembourg,Ireland,Turkey,France,Malta,Switzerland,Israel,Sweden
Yugoslavia,Brazil,Baby Doll,Final,1991,1.0,1,21,Rome ,Malta,Cyprus,Ireland,Greece,Switzerland,Sweden,Italy,Spain,France,Israel
Austria,Zusammen Geh'n,Tony Wegas,Final,1992,63.0,15,10,Malm,Israel,Spain,Denmark,Greece,Netherlands,Italy,Iceland,Malta,Ireland,United Kingdom
Belgium,Nous On Veut Des Violons,Morgane,Final,1992,11.0,2,20,Malm,Spain,Netherlands,Norway,Iceland,Switzerland,Germany,Ireland,Austria,Malta,United Kingdom
Cyprus,Teriazoume,Evridiki,Final,1992,57.0,9,11,Malm,Malta,Yugoslavia,France,Israel,Ireland,United Kingdom,Netherlands,Austria,Italy,Greece
Denmark,Alt Det Som Ingen Ser,Kenny & Lotte,Final,1992,47.0,18,12,Malm,Spain,Israel,Germany,Sweden,Iceland,Norway,Austria,Malta,Ireland,United Kingdom
Finland,Yamma Yamma,Pave,Final,1992,4.0,12,23,Malm,Norway,Portugal,Spain,Yugoslavia,Greece,United Kingdom,France,Cyprus,Ireland,Italy
France,Monté La Riviè,Kali,Final,1992,73.0,6,8,Malm,Sweden,Cyprus,Belgium,Netherlands,Yugoslavia,Spain,Greece,Israel,United Kingdom,Italy
Germany,Träume Sind Für Alle Da,Wind,Final,1992,27.0,22,16,Malm,Italy,Yugoslavia,France,Israel,Denmark,Iceland,Netherlands,Portugal,Ireland,United Kingdom
Greece,Olou Tou Kosmou tin Elpida,Cleopatra,Final,1992,94.0,5,5,Malm,Yugoslavia,Portugal,Italy,Spain,Netherlands,Iceland,Malta,Austria,Cyprus,Ireland
Iceland,Nei Eða Já,Heart 2 Heart,Final,1992,80.0,11,7,Malm,Norway,Greece,Netherlands,United Kingdom,Yugoslavia,Denmark,Ireland,Malta,Italy,Switzerland
Ireland,Why Me,Linda Martin,Final,1992,155.0,17,1,Malm,Switzerland,Germany,Turkey,Yugoslavia,France,Cyprus,United Kingdom,Netherlands,Malta,Austria
Israel,Ze Rak Sport,Dafna,Final,1992,85.0,3,6,Malm,Finland,United Kingdom,Cyprus,Iceland,Netherlands,Denmark,Greece,Portugal,Yugoslavia,France
Italy,Rapsodia,Mia Martini,Final,1992,111.0,19,4,Malm,Portugal,Ireland,Malta,Cyprus,Iceland,France,Spain,United Kingdom,Switzerland,Greece
Luxembourg,Sou Fräi,Marion Welter and Kontinent,Final,1992,10.0,14,21,Malm,Belgium,Yugoslavia,Spain,Norway,Iceland,Denmark,United Kingdom,Israel,Ireland,Malta
Malta,Little Child,Mary Spiteri,Final,1992,123.0,10,3,Malm,Cyprus,Spain,Yugoslavia,Austria,Italy,United Kingdom,Israel,Turkey,Luxembourg,Ireland
Netherlands,Wijs Me De Weg,Humphrey Campbell,Final,1992,67.0,23,9,Malm,Spain,Iceland,Israel,Greece,Malta,France,United Kingdom,Cyprus,Ireland,Italy
Norway,Visjoner,Merethe Trøan,Final,1992,23.0,21,18,Malm,Iceland,Israel,Cyprus,Netherlands,Spain,Denmark,Ireland,Greece,France,Italy
Portugal,Amor D'água Fresca,Diná,Final,1992,26.0,8,17,Malm,Denmark,Cyprus,Austria,Ireland,Greece,Iceland,Israel,Italy,Germany,Malta
Spain,Todo Esto Es La Música,Serafin,Final,1992,37.0,1,14,Malm,Ireland,Austria,Belgium,Denmark,United Kingdom,France,Netherlands,Iceland,Israel,Malta
Sweden,I Morgon är En Annan Dag,Christer Björkman,Final,1992,9.0,7,22,Malm,Austria,Norway,Greece,Israel,United Kingdom,Iceland,Denmark,Italy,Ireland,Malta
Switzerland,Mister Music Man,Daisy Auvray,Final,1992,32.0,13,15,Malm,Netherlands,Cyprus,Iceland,Israel,Malta,Ireland,Italy,United Kingdom,Greece,France
Turkey,Yaz Bitti,Aylin Vatankos,Final,1992,17.0,4,19,Malm,Spain,Israel,France,Belgium,Italy,Yugoslavia,Netherlands,Greece,United Kingdom,Ireland
United Kingdom,One Step Out Of Time,Michael Ball,Final,1992,139.0,16,2,Malm,Spain,Netherlands,Denmark,Switzerland,Norway,Germany,Israel,Ireland,Austria,Iceland
Yugoslavia,Ljubim Te Pesmama,Extra Nena,Final,1992,44.0,20,13,Malm,Norway,Ireland,Finland,Sweden,Portugal,Turkey,Greece,Cyprus,Malta,Israel
Austria,Maria Magdalena,Tony Wegas,Final,1993,32.0,10,14,Millstreet ,Iceland,Spain,Netherlands,Malta,Portugal,Switzerland,France,Ireland,Sweden,United Kingdom
Belgium,Iemand Als Jij,Barbara,Final,1993,3.0,7,25,Millstreet ,Bosnia & Herzegovina,Ireland,Austria,Croatia,Spain,Norway,Netherlands,Switzerland,Sweden,United Kingdom
Bosnia & Herzegovina,Sva Bol Svijeta,Fazla,Final,1993,27.0,18,16,Millstreet ,Slovenia,Turkey,United Kingdom,Malta,Denmark,Spain,Norway,Ireland,Netherlands,Austria
Croatia,Don't Ever Cry,Put,Final,1993,31.0,21,15,Millstreet ,Turkey,Switzerland,Netherlands,Malta,Iceland,Ireland,Spain,France,United Kingdom,Norway
Cyprus,Mi Stamatas,Kyriakos Zymboulakis & Demos Van Beke,Final,1993,17.0,23,19,Millstreet ,Malta,Iceland,Portugal,United Kingdom,Spain,Switzerland,Ireland,Norway,France,Greece
Denmark,Under Stjernerne På Himlen,Tommy Seebach Band,Final,1993,9.0,5,22,Millstreet ,Portugal,Cyprus,Germany,Iceland,Malta,Ireland,Sweden,United Kingdom,Switzerland,France
Finland,Tule Luo,Katri-Helena,Final,1993,20.0,17,17,Millstreet ,France,Portugal,Ireland,Switzerland,United Kingdom,Greece,Sweden,Italy,Spain,Norway
France,Mama Corsica,Patrick Fiori,Final,1993,121.0,12,4,Millstreet ,Israel,Malta,Austria,Bosnia & Herzegovina,Italy,United Kingdom,Greece,Portugal,Ireland,Switzerland
Germany,Viel Zu Weit,Münchener Freiheit,Final,1993,18.0,3,18,Millstreet ,Portugal,Greece,Belgium,Malta,Ireland,United Kingdom,Netherlands,Sweden,Norway,Switzerland
Greece,"Ellada, Hora Tou Fotos",Kaiti Garbi,Final,1993,64.0,6,9,Millstreet ,Austria,Portugal,France,Iceland,Malta,Ireland,Switzerland,Finland,Cyprus,Norway
Iceland,þá Veistu Svarið,Inga,Final,1993,42.0,9,13,Millstreet ,Turkey,Portugal,Ireland,Switzerland,Finland,Netherlands,Sweden,France,Norway,United Kingdom
Ireland,In Your Eyes,Niamh Kavanagh,Final,1993,187.0,14,1,Millstreet ,Iceland,Malta,Bosnia & Herzegovina,Germany,Norway,Austria,Switzerland,United Kingdom,France,Netherlands
Israel,Shiru,Lakahat Shiru,Final,1993,4.0,24,24,Millstreet ,Spain,Iceland,Malta,Switzerland,Ireland,Croatia,Greece,France,Sweden,United Kingdom
Italy,Sole D'europa,Enrico Ruggeri,Final,1993,45.0,1,12,Millstreet ,United Kingdom,Greece,Bosnia & Herzegovina,Slovenia,Spain,Netherlands,Malta,Germany,Switzerland,Ireland
Luxembourg,Donne-moi Une Chance,Modern Times,Final,1993,11.0,15,20,Millstreet ,Norway,Finland,Denmark,Portugal,Sweden,France,Ireland,United Kingdom,Italy,Switzerland
Malta,This Time,William Mangion,Final,1993,69.0,8,8,Millstreet ,Slovenia,Finland,Netherlands,Bosnia & Herzegovina,Switzerland,Greece,Italy,Spain,Luxembourg,Ireland
Netherlands,Vrede,Ruth Jacott,Final,1993,92.0,20,6,Millstreet ,Germany,Italy,France,United Kingdom,Greece,Norway,Iceland,Switzerland,Ireland,Portugal
Norway,Alle Mine Tankar,Silje Vige,Final,1993,120.0,25,5,Millstreet ,Spain,Iceland,Switzerland,Croatia,Portugal,France,Greece,United Kingdom,Netherlands,Ireland
Portugal,A Cidade Até Ser Dia,Anabela,Final,1993,60.0,11,10,Millstreet ,Switzerland,Malta,Israel,Sweden,Croatia,Ireland,United Kingdom,Norway,Italy,France
Slovenia,Tih deževen dan,1X Band,Final,1993,9.0,16,22,Millstreet ,Luxembourg,Spain,Norway,France,Iceland,Sweden,Netherlands,Switzerland,United Kingdom,Ireland
Spain,Hombres,Eva Santamaria,Final,1993,58.0,22,11,Millstreet ,Croatia,Italy,Switzerland,Malta,United Kingdom,Turkey,Netherlands,Greece,Ireland,Portugal
Sweden,Eloïse,Arvingarna,Final,1993,89.0,13,7,Millstreet ,Denmark,Portugal,Slovenia,Malta,Netherlands,Switzerland,Iceland,France,United Kingdom,Ireland
Switzerland,"Moi, Tout Simplement",Annie Cotton,Final,1993,148.0,4,3,Millstreet ,Italy,Germany,Croatia,France,United Kingdom,Spain,Malta,Sweden,Norway,Ireland
Turkey,Esmer Yarim,"Burak Aydos, Öztürk Baybora & Serter",Final,1993,10.0,2,21,Millstreet ,Ireland,Greece,Finland,Austria,Malta,Netherlands,France,United Kingdom,Norway,Bosnia & Herzegovina
United Kingdom,Better The Devil You Know,Sonia,Final,1993,164.0,19,2,Millstreet ,Portugal,Iceland,Austria,France,Cyprus,Malta,Sweden,Croatia,Switzerland,Ireland
Austria,Für Den Frieden Der Welt,Petra Frey,Final,1994,19.0,20,17,Dublin ,United Kingdom,Germany,Iceland,Netherlands,Sweden,Russia,France,Hungary,Ireland,Poland
Bosnia & Herzegovina,Ostani Kraj Mene,Alma & Dejan,Final,1994,39.0,18,15,Dublin ,Finland,France,Hungary,United Kingdom,Austria,Norway,Germany,Poland,Ireland,Malta
Croatia,Nek'ti Bude Ljubav Sva,Tony Cetinski,Final,1994,27.0,7,16,Dublin ,Russia,Austria,Norway,Bosnia & Herzegovina,Hungary,United Kingdom,Malta,Poland,Germany,Ireland
Cyprus,Ime Anthropos Ke Ego,Evridiki,Final,1994,51.0,4,11,Dublin ,Poland,Malta,Russia,France,United Kingdom,Germany,Austria,Ireland,Norway,Greece
Estonia,Nagu Merelaine,Silvi Vrait,Final,1994,2.0,10,24,Dublin ,Russia,Sweden,Germany,Hungary,United Kingdom,France,Malta,Norway,Ireland,Poland
Finland,Bye Bye Baby,CatCat,Final,1994,11.0,2,22,Dublin ,Iceland,Bosnia & Herzegovina,Germany,Greece,Portugal,Malta,Ireland,Poland,Cyprus,Hungary
France,Je Suis Un Vrai Garçon,Nina Morato,Final,1994,74.0,25,7,Dublin ,Russia,Spain,Cyprus,Iceland,Switzerland,Portugal,Hungary,Ireland,Bosnia & Herzegovina,Poland
Germany,Wir Geben 'ne Party,MeKaDo,Final,1994,128.0,14,3,Dublin ,Greece,Norway,Malta,United Kingdom,Sweden,Russia,Hungary,France,Poland,Ireland
Greece,To Trehantiri,Costas Bigalis and the Sea Lovers,Final,1994,44.0,19,14,Dublin ,Norway,Estonia,Slovakia,Russia,Croatia,Romania,Malta,Spain,Finland,Cyprus
Hungary,Kinek Mondjam El Vétkeimet,Friderika Bayer,Final,1994,122.0,22,4,Dublin ,Bosnia & Herzegovina,Sweden,United Kingdom,Greece,Norway,Russia,Portugal,Poland,Ireland,Germany
Iceland,Nætur,Sigga,Final,1994,49.0,5,12,Dublin ,Norway,Sweden,Cyprus,Russia,France,Poland,Germany,Portugal,Hungary,Ireland
Ireland,Rock 'n' Roll Kids,Paul Harrington & Charlie McGettigan,Final,1994,226.0,3,1,Dublin ,United Kingdom,France,Norway,Russia,Germany,Iceland,Poland,Portugal,Malta,Hungary
Lithuania,Lopšinė mylimai,Ovidijus Vyšniauskas,Final,1994,0.0,16,25,Dublin ,Norway,Romania,Iceland,Germany,Sweden,Russia,Malta,France,Ireland,Poland
Malta,More Than Love,Moira Stafrace & Christopher Scicluna,Final,1994,97.0,12,5,Dublin ,Portugal,Poland,Sweden,Greece,Ireland,Romania,Bosnia & Herzegovina,Switzerland,Croatia,Slovakia
Netherlands,Waar Is De Zon,Willeke Alberti,Final,1994,4.0,13,23,Dublin ,Malta,United Kingdom,Portugal,Germany,Russia,Sweden,Norway,Poland,Hungary,Ireland
Norway,Duett,Elisabeth Andreasson & Jan Werner Danielsen,Final,1994,76.0,17,6,Dublin ,Germany,United Kingdom,Russia,Greece,Cyprus,Poland,France,Hungary,Sweden,Ireland
Poland,To Nie Ja!,Edyta Górniak,Final,1994,166.0,24,2,Dublin ,Portugal,Greece,United Kingdom,Iceland,Cyprus,France,Germany,Ireland,Russia,Hungary
Portugal,Chamar A Música,Sara Tavares,Final,1994,73.0,8,8,Dublin ,Hungary,Russia,Iceland,Malta,Cyprus,France,Poland,United Kingdom,Germany,Ireland
Romania,Dincolo De Nori,Dan Bittman,Final,1994,14.0,11,21,Dublin ,Austria,Hungary,Russia,Norway,Spain,Greece,Poland,Ireland,Malta,Germany
Russia,Vechni Stranik,Youddiph,Final,1994,70.0,23,9,Dublin ,Iceland,Cyprus,Hungary,Portugal,United Kingdom,Poland,Germany,Norway,France,Ireland
Slovakia,Nekovecná Piesen,Martin Durinda and Tublatanka,Final,1994,15.0,15,19,Dublin ,Iceland,Spain,United Kingdom,Poland,Greece,Ireland,Germany,Bosnia & Herzegovina,Malta,Croatia
Spain,Ella No Es Ella,Alejandro Abad,Final,1994,17.0,21,18,Dublin ,Sweden,Switzerland,United Kingdom,Cyprus,Norway,Iceland,Bosnia & Herzegovina,Germany,Ireland,Portugal
Sweden,Stjärnorna,Marie Bergman & Roger Pontare,Final,1994,48.0,1,13,Dublin ,Austria,Greece,France,Malta,Portugal,Germany,Norway,Iceland,Ireland,Hungary
Switzerland,Sto Pregando,Duilio,Final,1994,15.0,9,19,Dublin ,Norway,Cyprus,Iceland,Hungary,Portugal,Malta,Sweden,United Kingdom,Poland,Ireland
United Kingdom,We Will Be Free (Lonely Symphony),Frances Ruffelle,Final,1994,63.0,6,10,Dublin ,Malta,Hungary,Austria,Norway,Russia,Iceland,Germany,Portugal,Ireland,Poland
Austria,Die Welt Dreht Sich Verkehrt,Stella Jones,Final,1995,67.0,8,13,Dublin ,Belgium,Malta,Slovenia,Iceland,Greece,Israel,Denmark,Sweden,France,United Kingdom
Belgium,La Voix Est Libre,Frédéric Etherlinck,Final,1995,8.0,14,20,Dublin ,Turkey,Greece,Denmark,Israel,Norway,France,United Kingdom,Cyprus,Austria,Spain
Bosnia & Herzegovina,Dvadeset I Prvi Vijek,Davor Popovic,Final,1995,14.0,4,19,Dublin ,Norway,Sweden,Denmark,United Kingdom,Ireland,Slovenia,Israel,Spain,Croatia,Malta
Croatia,Nostalgija,Magazin & Lidija,Final,1995,91.0,11,6,Dublin ,Cyprus,Slovenia,France,Israel,Turkey,Russia,Greece,Bosnia & Herzegovina,Spain,Malta
Cyprus,Sti Fotia,Alexandros Panayi,Final,1995,79.0,17,9,Dublin ,Russia,France,Slovenia,Sweden,Croatia,Malta,Norway,Israel,Spain,Greece
Denmark,Fra Mols Til Skagen,Aud Wilken,Final,1995,92.0,19,5,Dublin ,Ireland,Norway,Bosnia & Herzegovina,Malta,Cyprus,France,United Kingdom,Iceland,Austria,Sweden
France,Il Me Donne Rendez-vous,Nathalie Santamaria,Final,1995,94.0,12,4,Dublin ,Ireland,Iceland,Sweden,Portugal,Greece,Malta,Spain,Austria,Norway,United Kingdom
Germany,Verliebt In Dich,Stone and Stone,Final,1995,1.0,3,23,Dublin ,Ireland,Malta,Cyprus,Norway,Slovenia,Spain,Denmark,France,Israel,Sweden
Greece,Pia Prosefhi,Elina Constantopoulou,Final,1995,68.0,23,12,Dublin ,Portugal,France,Poland,Ireland,Croatia,Spain,Austria,Cyprus,Slovenia,Norway
Hungary,Ùj Nèv Egy Règi Hàz Fàlan,Czaba Szigeti,Final,1995,3.0,13,22,Dublin ,Poland,Spain,Denmark,Austria,Israel,Norway,United Kingdom,Slovenia,France,Cyprus
Iceland,Núna,Bó Halldórsson,Final,1995,31.0,7,15,Dublin ,Slovenia,Cyprus,Ireland,Sweden,Spain,Poland,Denmark,France,Croatia,Norway
Ireland,Dreamin',Eddie Friel,Final,1995,44.0,2,14,Dublin ,United Kingdom,Spain,Croatia,Malta,France,Iceland,Denmark,Slovenia,Norway,Sweden
Israel,Amen,Liora,Final,1995,81.0,21,8,Dublin ,Turkey,Austria,Slovenia,Croatia,United Kingdom,Cyprus,France,Greece,Norway,Spain
Malta,Keep Me In Mind,Mike Spiteri,Final,1995,76.0,22,10,Dublin ,Germany,Slovenia,Sweden,Cyprus,Israel,Norway,Turkey,Spain,Greece,Croatia
Norway,Nocturne,Secret Garden,Final,1995,148.0,5,1,Dublin ,Ireland,Iceland,Austria,Poland,Cyprus,France,Croatia,Sweden,Russia,Denmark
Poland,Sama,Justyna,Final,1995,15.0,1,18,Dublin ,Cyprus,Austria,Denmark,Slovenia,United Kingdom,Greece,France,Spain,Sweden,Norway
Portugal,Baunilha E Chocolate,Tó Cruz,Final,1995,5.0,16,21,Dublin ,Poland,Austria,Greece,Croatia,Slovenia,Denmark,Spain,Sweden,United Kingdom,Norway
Russia,Kolybelnaya Dlya Vulkana,Philipp Kirkorov,Final,1995,17.0,6,17,Dublin ,United Kingdom,Hungary,Iceland,Cyprus,Ireland,Sweden,Slovenia,Israel,Denmark,Norway
Slovenia,Prisluhni Mi,Darja Svajger,Final,1995,84.0,20,7,Dublin ,Sweden,Greece,Turkey,Cyprus,Ireland,Denmark,Norway,France,Israel,Croatia
Spain,Vuelve Conmigo,Anabel Conde,Final,1995,119.0,9,2,Dublin ,Hungary,Turkey,Ireland,Norway,Cyprus,Austria,Belgium,Greece,Malta,Croatia
Sweden,Se på mig,Jan Johansen,Final,1995,100.0,18,3,Dublin ,Malta,Israel,France,Austria,United Kingdom,Iceland,Slovenia,Cyprus,Ireland,Denmark
Turkey,Sev!,Arzu Ece,Final,1995,21.0,10,16,Dublin ,Sweden,France,Bosnia & Herzegovina,Austria,Ireland,Denmark,Croatia,Spain,Malta,Norway
United Kingdom,Love City Groove,Love City Groove,Final,1995,76.0,15,10,Dublin ,France,Turkey,Cyprus,Norway,Austria,Sweden,Malta,Spain,Slovenia,Israel
Austria,Weil's Dr Guat Got,George Nußbaumer,Final,1996,68.0,8,10,Oslo ,Portugal,Cyprus,United Kingdom,Poland,Estonia,Iceland,Ireland,Norway,Sweden,Netherlands
Belgium,Liefde Is Een Kaartspel,Lisa del Bo,Final,1996,22.0,16,16,Oslo ,Netherlands,Switzerland,Ireland,Croatia,Turkey,Portugal,France,Norway,Sweden,United Kingdom
Bosnia & Herzegovina,Za Našu Ljubav,Amila Glamocak,Final,1996,13.0,21,22,Oslo ,Portugal,Netherlands,Norway,Sweden,Turkey,Austria,Poland,Slovenia,Croatia,Ireland
Croatia,Sveta Ljubav,Maja Blagdan,Final,1996,98.0,7,4,Oslo ,Turkey,Belgium,Bosnia & Herzegovina,Spain,Norway,Slovenia,United Kingdom,Cyprus,Portugal,Malta
Cyprus,Mono Gia Mas,Constantinos,Final,1996,72.0,5,9,Oslo ,United Kingdom,Spain,Norway,Poland,Netherlands,Ireland,Estonia,Croatia,Greece,Portugal
Estonia,Kaelakee Hääl,Ivo Linna and Maarja-Liis Ilus,Final,1996,94.0,11,5,Oslo ,Belgium,United Kingdom,France,Netherlands,Norway,Croatia,Austria,Iceland,Sweden,Ireland
Finland,Niin Kaunis On Taivas,Jasmine,Final,1996,9.0,18,23,Oslo ,Bosnia & Herzegovina,France,Portugal,Switzerland,Turkey,Cyprus,Norway,Sweden,Ireland,Estonia
France,Diwanit Bugale,Dan Ar Braz et l'Héritage des Celtes,Final,1996,18.0,13,19,Oslo ,Estonia,Cyprus,Sweden,Turkey,Portugal,Ireland,Norway,United Kingdom,Netherlands,Austria
Greece,Emis Forame To Himona Anixiatika,Marianna Efstratiou,Final,1996,36.0,10,14,Oslo ,Croatia,Austria,Iceland,Slovakia,Portugal,Spain,Poland,Malta,Ireland,Cyprus
Iceland,Sjúbídú,Anna Mjöll,Final,1996,51.0,19,13,Oslo ,Slovenia,Netherlands,Switzerland,United Kingdom,Croatia,Sweden,Finland,Norway,Portugal,Estonia
